Config, InputLinear, k_hat, G(context), k_v_sum, t_D, T_N, z, CompTotal, reduce1, reduce2, gather, Total
W1_N2048_D64_H4_B16,0.8181,0.2090,0.2704,0.1173,0.2083,0.3243,0.1185,2.0659,0.0167,0.1181,0.0168,2.2176
W2_N2048_D64_H4_B16,0.8169,0.1762,0.2008,0.1054,0.2744,0.2599,0.1227,1.9563,0.2530,0.2816,0.6742,3.1652
W4_N2048_D64_H4_B16,0.7906,0.1456,0.1727,0.0865,0.2743,0.2246,0.1194,1.8137,0.5152,0.3056,0.9670,3.6014
W1_N1024_D64_H4_B16,0.7236,0.1361,0.1621,0.0875,0.1892,0.2106,0.0937,1.6030,0.0162,0.1139,0.0164,1.7494
W2_N1024_D64_H4_B16,0.8029,0.1449,0.1677,0.0842,0.2702,0.2246,0.1174,1.8119,0.2879,0.2991,0.5248,2.9236
W4_N1024_D64_H4_B16,0.8610,0.1481,0.1614,0.0811,0.2647,0.2198,0.1118,1.8479,0.3569,0.3301,0.7039,3.2387
W1_N512_D64_H4_B16,0.6838,0.1110,0.1329,0.0700,0.1942,0.1783,0.0857,1.4559,0.0173,0.1164,0.0171,1.6066
W2_N512_D64_H4_B16,0.7563,0.1260,0.1351,0.0675,0.2222,0.1825,0.0954,1.5851,0.3303,0.2974,0.5579,2.7707
W4_N512_D64_H4_B16,0.8069,0.1508,0.1708,0.0859,0.2786,0.2276,0.1175,1.8381,0.3486,0.3294,0.5301,3.0462
W1_N256_D64_H4_B16,0.7034,0.1155,0.1333,0.0688,0.2176,0.1859,0.0965,1.5211,0.0184,0.1291,0.0184,1.6869
W2_N256_D64_H4_B16,0.7636,0.1326,0.1461,0.0736,0.2373,0.1929,0.1001,1.6463,0.3863,0.3236,0.5303,2.8865
W4_N256_D64_H4_B16,0.8588,0.1396,0.1531,0.0785,0.2529,0.2033,0.1074,1.7935,0.4509,0.3279,0.5834,3.1557
W1_N2048_D64_H4_B16,0.7885,0.2086,0.2702,0.1160,0.2087,0.3225,0.1183,2.0327,0.0173,0.1140,0.0170,2.1810
W2_N4096_D64_H4_B16,0.8147,0.2191,0.2747,0.1198,0.2299,0.3306,0.1277,2.1165,0.3590,0.3012,1.5137,4.2904
W4_N8192_D64_H4_B16,0.8575,0.2448,0.2917,0.1305,0.3002,0.3628,0.1533,2.3408,0.3990,0.3342,3.0629,6.1368
W1_N1024_D64_H4_B16,0.7194,0.1416,0.1658,0.0892,0.2001,0.2164,0.0971,1.6295,0.0166,0.1215,0.0168,1.7845
W2_N2048_D64_H4_B16,0.9007,0.1964,0.2182,0.1217,0.3236,0.2903,0.1431,2.1941,0.2737,0.3294,0.6986,3.4958
W4_N4096_D64_H4_B16,0.7793,0.1771,0.1877,0.1024,0.2654,0.2562,0.1178,1.8859,0.5288,0.3407,1.7538,4.5091
W1_N512_D64_H4_B16,0.7230,0.1097,0.1314,0.0659,0.1982,0.1736,0.0879,1.4898,0.0167,0.1179,0.0170,1.6413
W2_N1024_D64_H4_B16,0.8004,0.1549,0.1755,0.0871,0.2826,0.2322,0.1201,1.8529,0.2694,0.3010,0.4585,2.8818
W4_N2048_D64_H4_B16,0.7183,0.1581,0.1797,0.0906,0.2873,0.2375,0.1249,1.7964,0.4378,0.2951,0.8852,3.4145
W1_N256_D64_H4_B16,0.6750,0.1382,0.1617,0.0849,0.2642,0.2236,0.1210,1.6686,0.0192,0.1673,0.0193,1.8745
W2_N512_D64_H4_B16,0.8017,0.1185,0.1266,0.0637,0.2062,0.1719,0.0863,1.5748,0.4375,0.3491,0.6886,3.0501
W4_N1024_D64_H4_B16,0.8561,0.1567,0.1678,0.0861,0.2681,0.2244,0.1173,1.8765,0.4178,0.3511,0.7829,3.4284
W1_N2048_D64_H4_B256,2.6916,1.8664,3.0397,0.8043,2.5422,3.6393,0.8985,15.4821,0.0175,0.1184,0.0177,15.6356
W2_N2048_D64_H4_B256,1.7466,0.8879,1.5876,0.4489,1.3016,1.8767,0.4901,8.3395,0.3012,0.3220,8.4804,17.4431
W4_N2048_D64_H4_B256,1.3326,0.4090,0.8388,0.2270,0.6705,0.9928,0.2772,4.7478,0.3337,0.3477,11.2090,16.6383
W1_N1024_D64_H4_B256,1.6826,0.8637,1.5809,0.4375,1.2836,1.8543,0.4745,8.1773,0.0179,0.1297,0.0178,8.3426
W2_N1024_D64_H4_B256,1.2072,0.4167,0.8493,0.2328,0.6876,1.0080,0.2977,4.6993,0.3245,0.2801,4.2802,9.5840
W4_N1024_D64_H4_B256,0.9915,0.2439,0.4751,0.1390,0.3726,0.5623,0.1848,2.9693,0.4235,0.3489,5.7346,9.4764
W1_N512_D64_H4_B256,1.2122,0.4031,0.8332,0.2284,0.6665,0.9974,0.2851,4.6259,0.0186,0.1518,0.0186,4.8148
W2_N512_D64_H4_B256,0.9200,0.2440,0.4818,0.1461,0.3775,0.5727,0.2000,2.9421,0.2467,0.2783,2.2212,5.6881
W4_N512_D64_H4_B256,0.8672,0.1654,0.2807,0.0925,0.2576,0.3380,0.1330,2.1345,0.4398,0.4200,3.0926,6.0868
W1_N256_D64_H4_B256,0.9571,0.2192,0.4628,0.1315,0.3633,0.5400,0.1694,2.8434,0.0176,0.1209,0.0176,2.9995
W2_N256_D64_H4_B256,0.7633,0.1537,0.2747,0.0880,0.2221,0.3288,0.1238,1.9544,0.2240,0.2217,1.1618,3.5619
W4_N256_D64_H4_B256,0.8378,0.1396,0.2008,0.0779,0.2469,0.2426,0.1120,1.8575,0.3964,0.4177,1.6644,4.3360
W1_N2048_D64_H4_B256,2.7051,1.8918,3.0531,0.8083,2.5615,3.6657,0.9044,15.5900,0.0184,0.1554,0.0183,15.7821
W2_N4096_D64_H4_B256,2.6279,1.9196,3.0697,0.8204,2.5767,3.6762,0.9124,15.6030,0.3940,0.3273,16.7494,33.0737
W4_N8192_D64_H4_B256,2.8215,1.9129,3.0669,0.8173,2.5699,3.6715,0.9091,15.7691,0.4208,0.3799,44.5187,61.0885
W1_N1024_D64_H4_B256,1.6670,0.8657,1.5848,0.4333,1.2953,1.8543,0.4641,8.1645,0.0171,0.1225,0.0173,8.3213
W2_N2048_D64_H4_B256,1.7657,0.9014,1.6066,0.4580,1.3110,1.8900,0.4976,8.4304,0.2740,0.3104,8.4626,17.4774
W4_N4096_D64_H4_B256,1.7985,0.8896,1.5980,0.4467,1.3116,1.8790,0.4815,8.4049,0.3598,0.3759,22.2849,31.4255
W1_N512_D64_H4_B256,1.1635,0.3928,0.8295,0.2219,0.6620,0.9765,0.2644,4.5107,0.0170,0.1230,0.0172,4.6679
W2_N1024_D64_H4_B256,1.2496,0.4223,0.8419,0.2397,0.6796,1.0085,0.2943,4.7358,0.2836,0.3094,4.3265,9.6553
W4_N2048_D64_H4_B256,1.1333,0.4125,0.8345,0.2310,0.6726,0.9945,0.2796,4.5581,0.4226,0.3612,11.2535,16.5953
W1_N256_D64_H4_B256,0.9182,0.2206,0.4662,0.1319,0.3607,0.5521,0.1727,2.8223,0.0168,0.1217,0.0170,2.9778
W2_N512_D64_H4_B256,0.9956,0.2528,0.4873,0.1459,0.3864,0.5876,0.2057,3.0613,0.2679,0.3197,2.2462,5.8951
W4_N1024_D64_H4_B256,0.9976,0.2414,0.4804,0.1401,0.3793,0.5635,0.1870,2.9893,0.4041,0.4004,5.7697,9.5635
